"GEOID","hate","nohate","Hate Percent","Case Rate","Death Rate","Percent Asian","Percent Foreign Born","Percent NH White","Population Density","Income Inequality","Percent Below Poverty"
"41049",0,63,0,276.498905908096,3.23851203501094,0.805251641137856,17.0678336980306,58.5382932166302,2.1598910021012,3.6466500491,2.99343544857768
"41053",0,1571,0,214.410480349345,1.68771391478815,1.51068098666352,6.92906880679806,77.1568511743184,44.0713065928812,4.2515651455,1.91431606278768
"41055",0,13,0,213.523131672598,3.55871886120996,0,1.30486358244365,88.3155397390273,0.785040831744685,4.3455121951,2.13523131672598
"41057",0,404,0,167.127174968262,2.53901874393249,0.675827048017325,5.33940706444627,82.7122694346949,9.2127472889851,4.3125356667,1.829587036069
"41059",0,1190,0,312.911444793647,3.07815672732446,0.869126605362201,9.61212638549386,61.6187483024871,9.2607378079584,4.4429511009,2.51943248102019
"41061",0,312,0,204.437400950872,3.16957210776545,1.15085653912912,2.92430759942646,87.6009357784318,5.02999582340853,4.5237820142,2.37717908082409
"41063",0,12,0,193.77211606511,2.26468506723284,0.240622788393489,2.00990799716914,90.7006369426752,0.867617185193102,4.8953889194,1.48619957537155
"41065",0,60,0,228.324579432138,2.58810991855066,0.886808251503387,8.92897921899977,72.741112887265,4.24601940461407,3.8823183536,1.65562913907285
"41069",0,3,0,180.663373323924,2.11714890613973,0.776287932251235,3.31686661961891,85.8151023288638,0.319313592701934,4.0068572757,2.18772053634439
"41071",0,2056,0,191.993363937146,2.17745812399257,1.41864695957092,8.09901307417497,75.3956658214484,57.1542096174721,4.16759013,2.10581880909065
"42005",0,235,0,248.959544647775,5.44708978517657,0.30754636146643,0.61662280433319,96.027908684742,38.0609302733041,4.3523997975,2.31042291449905
"42009",0,735,0,239.751630186485,5.83544461519292,0.238817128379782,0.795364871038751,95.7449017734768,18.3012419459213,4.1412477116,2.01437056111642
"42011",0,8865,0,264.581374593736,3.90395693238709,1.45754088893768,7.53826402775723,69.7357431597234,187.062113413253,4.3675024769,2.09109869184035
"42015",0,200,0,287.709359200277,3.52431613445101,0.620872515274781,1.94990201083645,94.67729451096,20.2220173953124,4.090092018,2.44396502033893
"42021",0,2892,0,283.585718518969,5.71380811634286,0.453609500725623,1.05842216835979,90.7956021913062,73.3653906951799,4.6713467197,2.47699660362736
"42023",0,31,0,196.143617021277,4.65425531914894,0.243794326241135,0.465425531914894,93.6835106382979,4.37910408270921,3.9798971722,5.6959219858156
"42027",0,6824,0,239.104175910861,2.23093230784401,6.25030813982153,7.99376325001233,83.7314499827442,56.3606586065733,5.1263986555,0.944756692796924
"42031",0,262,0,227.163305981933,5.4098827427329,0.372738332513654,0.830895866228354,94.6625941552559,24.4912460216066,4.4590296769,2.33737996013771
"42037",0,780,0,255.77305398379,3.86909313350665,1.15155222511087,2.12876586634042,91.7403272671662,51.5548508817205,4.6551908583,1.98348371310598
